Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Stephen Curry,37:36:00,8,18,0.444,4,8,0.5,2,2,1,1,1,2,7,4,0,4,1,22,14,GSW,20150503
Klay Thompson,37:33:00,8,16,0.5,2,5,0.4,0,0,0,0,3,3,6,1,0,4,1,18,16,GSW,20150503
Draymond Green,27:29:00,5,11,0.455,4,8,0.5,2,2,1,0,5,5,3,2,0,3,4,16,16,GSW,20150503
Harrison Barnes,25:06:00,4,4,1,1,1,1,2,2,1,2,1,3,3,0,1,0,2,11,18,GSW,20150503
Andrew Bogut,24:13:00,2,3,0.667,0,1,0,0,0,0,0,6,6,1,2,0,0,6,4,9,GSW,20150503
Andre Iguodala,29:42:00,3,9,0.333,1,4,0.25,1,2,0.5,0,5,5,2,3,0,1,0,8,3,GSW,20150503
Shaun Livingston,15:48,1,1,1,0,0,0,0,0,0,1,3,4,2,0,0,1,1,2,-1,GSW,20150503
Leandro Barbosa,14:00,2,3,0.667,1,1,1,1,2,0.5,0,0,0,2,0,0,1,1,6,-2,GSW,20150503
Marreese Speights,12:31,4,6,0.667,0,0,0,2,5,0.4,0,5,5,0,1,0,1,4,10,3,GSW,20150503
Festus Ezeli,11:16,2,2,1,0,0,0,0,0,0,1,2,3,0,0,1,0,0,4,3,GSW,20150503
David Lee,3:35,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,GSW,20150503
Justin Holiday,0:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,GSW,20150503
James Michael McAdoo,0:35,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-3,GSW,20150503
Jimmy Butler,44:12:00,7,16,0.438,2,6,0.333,4,6,0.667,1,4,5,6,3,0,1,0,20,10,CHI,20150504
Mike Dunleavy,39:10:00,5,6,0.833,3,4,0.75,1,2,0.5,1,6,7,2,1,0,2,2,14,10,CHI,20150504
Derrick Rose,38:33:00,11,26,0.423,3,6,0.5,0,0,0,1,4,5,5,1,0,2,3,25,10,CHI,20150504
Pau Gasol,34:42:00,10,16,0.625,0,0,0,1,1,1,2,8,10,4,0,4,0,1,21,17,CHI,20150504
Joakim Noah,28:49:00,0,4,0,0,0,0,0,2,0,3,6,9,4,0,2,4,3,0,13,CHI,20150504
Taj Gibson,28:01:00,3,5,0.6,0,0,0,2,4,0.5,2,3,5,1,0,0,0,1,8,-13,CHI,20150504
Kirk Hinrich,15:03,2,3,0.667,1,1,1,1,1,1,0,0,0,1,1,0,1,3,6,-6,CHI,20150504
Aaron Brooks,9:05,2,4,0.5,1,1,1,0,0,0,1,0,1,0,1,0,0,1,5,-3,CHI,20150504
Nikola Mirotic,2:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,CHI,20150504
Kyrie Irving,43:58:00,10,23,0.435,1,5,0.2,9,9,1,0,2,2,6,1,1,2,2,30,-14,CLE,20150504
LeBron James,41:56:00,9,22,0.409,0,3,0,1,2,0.5,4,11,15,9,3,1,6,4,19,-11,CLE,20150504
Iman Shumpert,41:23:00,8,17,0.471,4,10,0.4,2,2,1,0,1,1,1,1,0,0,2,22,-9,CLE,20150504
Timofey Mozgov,26:28:00,3,8,0.375,0,0,0,3,4,0.75,4,1,5,0,1,1,0,1,9,3,CLE,20150504
Mike Miller,16:08,1,2,0.5,1,2,0.5,0,0,0,0,5,5,0,0,1,0,0,3,-20,CLE,20150504
Tristan Thompson,37:00:00,1,2,0.5,0,0,0,2,2,1,3,5,8,0,0,2,1,1,4,4,CLE,20150504
Matthew Dellavedova,18:44,2,5,0.4,1,4,0.25,0,0,0,0,1,1,1,0,0,0,3,5,8,CLE,20150504
James Jones,8:02,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,4,CLE,20150504
Shawn Marion,6:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CLE,20150504
J.R. Smith,Player Suspended,CLE,20150504,,,,,,,,,,,,,,,,,,,
Matt Barnes,42:02:00,8,11,0.727,3,6,0.5,1,1,1,1,4,5,3,4,2,2,5,20,21,LAC,20150504
J.J. Redick,40:34:00,6,13,0.462,3,7,0.429,2,2,1,0,2,2,2,1,0,4,1,17,20,LAC,20150504
Blake Griffin,40:19:00,9,19,0.474,0,1,0,8,10,0.8,2,12,14,13,1,0,5,4,26,21,LAC,20150504
DeAndre Jordan,33:30:00,2,4,0.5,0,0,0,6,11,0.545,3,10,13,5,2,4,1,2,10,21,LAC,20150504
Austin Rivers,28:22:00,5,12,0.417,4,6,0.667,3,4,0.75,1,0,1,3,4,0,3,1,17,2,LAC,20150504
Jamal Crawford,32:01:00,8,18,0.444,3,8,0.375,2,2,1,1,4,5,4,2,0,6,2,21,10,LAC,20150504
Glen Davis,11:18,2,2,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,4,-9,LAC,20150504
Hedo Turkoglu,7:53,1,3,0.333,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,-3,LAC,20150504
Lester Hudson,3:58,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-3,LAC,20150504
Dahntay Jones,0:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,20150504
Dwight Howard,39:16:00,9,13,0.692,0,0,0,4,9,0.444,1,9,10,1,1,5,2,4,22,-17,HOU,20150504
Trevor Ariza,38:26:00,7,13,0.538,2,6,0.333,1,1,1,1,4,5,4,3,1,4,3,17,-11,HOU,20150504
James Harden,37:00:00,6,13,0.462,3,6,0.5,5,6,0.833,0,5,5,12,4,0,9,4,20,-22,HOU,20150504
Jason Terry,30:27:00,4,8,0.5,2,5,0.4,0,0,0,0,2,2,1,2,0,2,4,10,-23,HOU,20150504
Terrence Jones,16:16,1,6,0.167,0,1,0,2,2,1,1,2,3,1,1,1,1,1,4,-11,HOU,20150504
Josh Smith,28:40:00,3,12,0.25,1,5,0.2,2,4,0.5,1,4,5,1,1,0,2,3,9,3,HOU,20150504
Corey Brewer,24:05:00,3,12,0.25,0,5,0,0,2,0,0,1,1,1,1,0,3,3,6,-2,HOU,20150504
Pablo Prigioni,20:07,4,6,0.667,3,5,0.6,0,0,0,1,0,1,3,1,0,0,3,11,0,HOU,20150504
Clint Capela,5:44,1,1,1,0,0,0,0,0,0,1,2,3,0,0,1,0,0,2,3,HOU,20150504
Bradley Beal,43:00:00,8,22,0.364,2,3,0.667,2,3,0.667,2,3,5,7,3,0,3,2,20,-13,WAS,20150505
Ramon Sessions,39:37:00,8,14,0.571,3,5,0.6,2,5,0.4,0,3,3,4,1,0,2,3,21,-10,WAS,20150505
Paul Pierce,35:16:00,5,10,0.5,5,8,0.625,0,0,0,0,5,5,1,0,0,1,3,15,-12,WAS,20150505
Marcin Gortat,32:06:00,5,10,0.5,0,0,0,0,0,0,2,7,9,1,0,0,3,6,10,-1,WAS,20150505
Nene Hilario,27:20:00,0,5,0,0,0,0,2,2,1,1,3,4,1,0,0,4,2,2,-14,WAS,20150505
Otto Porter,30:59:00,6,12,0.5,2,3,0.667,1,2,0.5,1,7,8,5,3,0,0,2,15,-10,WAS,20150505
Drew Gooden,17:20,2,4,0.5,0,1,0,1,2,0.5,1,3,4,1,1,1,1,2,5,-9,WAS,20150505
Garrett Temple,13:23,1,4,0.25,0,2,0,0,0,0,0,1,1,1,1,0,1,1,2,-9,WAS,20150505
Kevin Seraphin,0:59,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-2,WAS,20150505
Kyle Korver,40:07:00,4,11,0.364,4,11,0.364,0,0,0,0,6,6,2,1,3,1,3,12,20,ATL,20150505
DeMarre Carroll,38:13:00,9,16,0.563,1,4,0.25,3,3,1,2,4,6,4,1,0,1,1,22,10,ATL,20150505
Paul Millsap,38:12:00,6,16,0.375,1,3,0.333,5,6,0.833,5,6,11,5,4,0,2,1,18,13,ATL,20150505
Al Horford,33:59:00,8,15,0.533,0,0,0,2,2,1,2,2,4,6,3,2,1,2,18,15,ATL,20150505
Jeff Teague,33:14:00,3,12,0.25,0,3,0,3,4,0.75,2,5,7,8,1,0,3,2,9,13,ATL,20150505
Pero Antic,19:38,2,6,0.333,2,5,0.4,2,2,1,0,3,3,0,0,0,0,4,8,4,ATL,20150505
Kent Bazemore,17:29,3,3,1,2,2,1,2,2,1,0,0,0,1,0,1,2,0,10,2,ATL,20150505
Dennis Schroder,14:57,2,4,0.5,0,0,0,5,6,0.833,0,5,5,4,0,0,0,2,9,3,ATL,20150505
Mike Muscala,4:11,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,ATL,20150505
Tony Allen,37:24:00,4,7,0.571,0,1,0,1,1,1,1,3,4,2,4,1,3,3,9,14,MEM,20150505
Zach Randolph,35:52:00,7,16,0.438,0,0,0,6,6,1,2,5,7,4,1,0,2,4,20,14,MEM,20150505
Courtney Lee,32:45:00,5,13,0.385,2,4,0.5,3,3,1,1,1,2,1,2,0,0,3,15,10,MEM,20150505
Marc Gasol,31:08:00,5,10,0.5,0,0,0,5,6,0.833,0,6,6,3,2,0,3,5,15,1,MEM,20150505
Mike Conley,27:16:00,8,12,0.667,3,6,0.5,3,4,0.75,0,0,0,3,0,0,1,1,22,9,MEM,20150505
Jeff Green,26:13:00,4,10,0.4,0,2,0,0,0,0,3,3,6,1,0,0,2,0,8,-6,MEM,20150505
Beno Udrih,20:35,2,8,0.25,0,1,0,0,0,0,0,5,5,2,2,0,1,3,4,0,MEM,20150505
Vince Carter,18:07,1,4,0.25,0,1,0,0,0,0,1,6,7,3,1,0,1,1,2,-10,MEM,20150505
Kosta Koufos,10:39,1,3,0.333,0,0,0,0,0,0,0,2,2,0,1,1,0,1,2,3,MEM,20150505
Stephen Curry,40:43:00,7,19,0.368,2,11,0.182,3,4,0.75,0,5,5,6,0,0,3,0,19,-8,GSW,20150505
Draymond Green,37:44:00,3,11,0.273,0,3,0,8,10,0.8,4,8,12,1,2,0,3,5,14,4,GSW,20150505
Harrison Barnes,34:58:00,4,8,0.5,0,2,0,3,3,1,0,4,4,0,1,1,2,2,11,-6,GSW,20150505
Klay Thompson,34:09:00,6,15,0.4,1,6,0.167,0,0,0,0,4,4,2,1,1,5,3,13,-16,GSW,20150505
Andrew Bogut,24:17:00,4,5,0.8,0,0,0,0,0,0,4,8,12,2,1,1,2,2,8,-16,GSW,20150505
Andre Iguodala,26:46:00,2,3,0.667,2,2,1,1,2,0.5,0,3,3,3,0,0,1,2,7,-2,GSW,20150505
Leandro Barbosa,13:51,5,9,0.556,1,2,0.5,3,3,1,1,1,2,1,0,0,1,2,14,9,GSW,20150505
Shaun Livingston,12:32,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,4,GSW,20150505
David Lee,5:10,0,2,0,0,0,0,1,2,0.5,0,2,2,0,0,0,0,0,1,-3,GSW,20150505
Festus Ezeli,5:04,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,1,-1,GSW,20150505
Marreese Speights,4:46,0,1,0,0,0,0,2,2,1,0,1,1,0,0,0,1,1,2,0,GSW,20150505
Derrick Rose,36:54:00,6,20,0.3,2,5,0.4,0,0,0,3,4,7,10,0,1,2,4,14,-13,CHI,20150506
Jimmy Butler,35:13:00,5,14,0.357,2,7,0.286,6,7,0.857,1,1,2,1,2,1,2,1,18,-26,CHI,20150506
Joakim Noah,29:34:00,2,4,0.5,0,0,0,0,2,0,4,3,7,4,0,0,0,4,4,-11,CHI,20150506
Pau Gasol,28:36:00,3,8,0.375,0,0,0,5,6,0.833,1,3,4,0,2,0,3,3,11,-19,CHI,20150506
Mike Dunleavy,28:31:00,3,6,0.5,0,1,0,2,2,1,0,4,4,0,2,0,3,3,8,-8,CHI,20150506
Taj Gibson,20:31,5,5,1,0,0,0,1,2,0.5,0,2,2,0,0,1,0,1,11,-14,CHI,20150506
Aaron Brooks,19:44,1,8,0.125,0,4,0,2,2,1,0,3,3,3,1,0,1,1,4,-4,CHI,20150506
Tony Snell,13:50,1,3,0.333,1,2,0.5,0,0,0,0,1,1,1,0,1,0,1,3,5,CHI,20150506
Kirk Hinrich,12:18,3,3,1,2,2,1,0,0,0,0,3,3,1,0,0,0,2,8,1,CHI,20150506
Nikola Mirotic,7:03,2,4,0.5,0,1,0,4,4,1,0,1,1,0,0,0,1,0,8,7,CHI,20150506
Nazr Mohammed,4:36,1,2,0.5,0,0,0,0,0,0,2,1,3,0,0,0,0,0,2,7,CHI,20150506
E'Twaun Moore,1:58,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CHI,20150506
Doug McDermott,1:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,CHI,20150506
Tristan Thompson,34:30:00,2,5,0.4,0,0,0,1,2,0.5,6,6,12,1,0,0,0,4,5,20,CLE,20150506
LeBron James,34:13:00,13,29,0.448,0,2,0,7,9,0.778,3,5,8,5,2,1,2,2,33,31,CLE,20150506
Kyrie Irving,34:11:00,5,9,0.556,1,3,0.333,10,12,0.833,0,0,0,3,2,0,3,1,21,23,CLE,20150506
Iman Shumpert,29:02:00,5,11,0.455,4,7,0.571,1,2,0.5,2,5,7,1,3,0,0,3,15,19,CLE,20150506
Timofey Mozgov,17:57,3,8,0.375,0,0,0,0,0,0,2,5,7,0,1,1,1,3,6,6,CLE,20150506
Matthew Dellavedova,35:52:00,3,8,0.375,2,5,0.4,1,2,0.5,0,1,1,9,0,0,2,3,9,-9,CLE,20150506
James Jones,22:15,6,10,0.6,5,9,0.556,0,0,0,0,2,2,0,0,0,0,3,17,-1,CLE,20150506
Mike Miller,13:01,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,CLE,20150506
Kendrick Perkins,12:26,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,2,0,-6,CLE,20150506
Shawn Marion,4:36,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,-7,CLE,20150506
Joe Harris,1:58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,CLE,20150506
J.R. Smith,Player Suspended,CLE,20150506,,,,,,,,,,,,,,,,,,,
J.J. Redick,46:09:00,3,10,0.3,2,6,0.333,4,4,1,0,0,0,2,0,0,2,5,12,-3,LAC,20150506
Blake Griffin,41:19:00,13,23,0.565,0,1,0,8,11,0.727,0,15,15,4,1,1,3,4,34,-7,LAC,20150506
Matt Barnes,33:56:00,2,7,0.286,0,5,0,2,2,1,0,6,6,5,2,0,1,6,6,-16,LAC,20150506
Austin Rivers,25:23:00,4,9,0.444,1,3,0.333,1,2,0.5,0,0,0,2,0,0,1,5,10,-3,LAC,20150506
DeAndre Jordan,25:06:00,6,6,1,0,0,0,4,6,0.667,4,8,12,0,2,2,1,4,16,3,LAC,20150506
Jamal Crawford,35:57:00,6,22,0.273,1,8,0.125,6,7,0.857,2,3,5,5,1,0,0,3,19,0,LAC,20150506
Glen Davis,14:20,2,4,0.5,0,0,0,0,0,0,0,2,2,0,1,0,0,3,4,-8,LAC,20150506
Lester Hudson,10:31,2,3,0.667,1,1,1,0,0,0,0,0,0,2,1,1,2,4,5,9,LAC,20150506
Hedo Turkoglu,7:11,1,2,0.5,1,1,1,0,0,0,0,0,0,0,1,0,1,4,3,-2,LAC,20150506
Dahntay Jones,0:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,LAC,20150506
Ekpe Udoh,0:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,LAC,20150506
Trevor Ariza,44:52:00,4,12,0.333,1,5,0.2,6,7,0.857,3,10,13,2,1,0,1,4,15,-2,HOU,20150506
Dwight Howard,35:24:00,8,11,0.727,0,0,0,8,21,0.381,4,12,16,3,1,4,1,4,24,-1,HOU,20150506
James Harden,35:03:00,7,17,0.412,3,10,0.3,15,15,1,1,2,3,7,1,1,7,4,32,14,HOU,20150506
Jason Terry,28:05:00,3,6,0.5,0,3,0,4,5,0.8,0,3,3,1,1,0,1,1,10,5,HOU,20150506
Terrence Jones,26:55:00,4,10,0.4,0,0,0,2,2,1,3,5,8,1,1,3,2,4,10,6,HOU,20150506
Corey Brewer,29:53:00,4,11,0.364,0,3,0,3,6,0.5,1,1,2,1,1,0,1,3,11,11,HOU,20150506
Pablo Prigioni,19:52,1,4,0.25,1,4,0.25,2,2,1,0,0,0,4,0,0,1,4,5,1,HOU,20150506
Josh Smith,16:39,3,9,0.333,0,1,0,2,6,0.333,2,4,6,1,0,2,0,2,8,-3,HOU,20150506
Clint Capela,3:17,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,0,-1,HOU,20150506
LeBron James,43:39:00,8,25,0.32,1,7,0.143,10,11,0.909,2,6,8,14,1,1,7,4,27,0,CLE,20150508
Tristan Thompson,41:16:00,4,8,0.5,0,0,0,2,2,1,4,9,13,1,0,3,0,1,10,1,CLE,20150508
Kyrie Irving,38:28:00,3,13,0.231,3,4,0.75,2,2,1,1,3,4,0,2,1,2,3,11,-7,CLE,20150508
Iman Shumpert,36:31:00,3,9,0.333,2,7,0.286,0,0,0,0,1,1,1,1,1,1,4,8,-1,CLE,20150508
Timofey Mozgov,22:16,4,9,0.444,0,0,0,0,0,0,2,5,7,2,1,3,0,4,8,2,CLE,20150508
J.R. Smith,26:42:00,5,9,0.556,4,8,0.5,0,0,0,0,2,2,1,0,0,0,4,14,-4,CLE,20150508
Matthew Dellavedova,15:57,3,4,0.75,2,3,0.667,2,2,1,0,2,2,4,0,0,1,2,10,1,CLE,20150508
James Jones,15:11,2,5,0.4,2,5,0.4,2,2,1,0,2,2,0,1,0,0,2,8,-7,CLE,20150508
Jimmy Butler,44:19:00,7,17,0.412,1,3,0.333,5,6,0.833,1,7,8,2,5,1,0,5,20,-2,CHI,20150508
Mike Dunleavy,39:04:00,6,12,0.5,3,7,0.429,1,1,1,2,4,6,2,1,1,0,1,16,3,CHI,20150508
Derrick Rose,38:43:00,10,26,0.385,1,3,0.333,9,10,0.9,1,6,7,7,1,1,3,2,30,9,CHI,20150508
Pau Gasol,21:49,3,7,0.429,0,0,0,0,0,0,2,2,4,4,0,3,0,0,6,-3,CHI,20150508
Joakim Noah,21:33,1,8,0.125,0,0,0,2,2,1,6,5,11,0,0,3,2,3,4,-2,CHI,20150508
Taj Gibson,22:50,3,4,0.75,0,0,0,3,4,0.75,4,5,9,0,0,1,0,1,9,-1,CHI,20150508
Nikola Mirotic,21:58,3,8,0.375,1,4,0.25,5,6,0.833,2,6,8,0,2,0,1,5,12,19,CHI,20150508
Kirk Hinrich,20:00,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,-2,CHI,20150508
Aaron Brooks,9:17,1,7,0.143,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2,-6,CHI,20150508
Tony Snell,0:28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,20150508
Dwight Howard,38:16:00,5,11,0.455,0,0,0,4,11,0.364,5,9,14,2,2,2,0,3,14,-10,HOU,20150508
James Harden,36:25:00,8,16,0.5,4,7,0.571,5,5,1,0,3,3,11,0,1,5,3,25,-17,HOU,20150508
Trevor Ariza,35:24:00,3,9,0.333,1,6,0.167,3,4,0.75,0,2,2,1,1,0,1,2,10,-11,HOU,20150508
Jason Terry,31:32:00,5,9,0.556,3,6,0.5,0,0,0,1,0,1,3,2,0,4,2,13,-21,HOU,20150508
Terrence Jones,25:21:00,4,10,0.4,0,1,0,4,6,0.667,0,2,2,1,0,0,0,2,12,-20,HOU,20150508
Corey Brewer,25:45:00,5,9,0.556,1,2,0.5,0,2,0,1,3,4,0,2,1,1,4,11,-21,HOU,20150508
Pablo Prigioni,20:23,2,8,0.25,2,7,0.286,0,0,0,2,0,2,2,0,0,1,1,6,-12,HOU,20150508
Josh Smith,12:42,3,10,0.3,0,3,0,1,1,1,5,4,9,0,1,0,2,1,7,-13,HOU,20150508
Clint Capela,5:29,0,3,0,0,0,0,1,2,0.5,1,3,4,0,0,1,0,0,1,-3,HOU,20150508
Kostas Papanikolaou,2:54,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HOU,20150508
Joey Dorsey,2:54,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,HOU,20150508
Nick Johnson,2:54,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,HOU,20150508
J.J. Redick,36:46:00,11,14,0.786,5,6,0.833,4,4,1,0,1,1,1,1,0,0,1,31,23,LAC,20150508
DeAndre Jordan,36:23:00,2,4,0.5,0,0,0,2,4,0.5,5,10,15,3,1,0,3,5,6,36,LAC,20150508
Blake Griffin,30:46:00,10,20,0.5,0,1,0,2,4,0.5,6,8,14,4,0,0,7,4,22,12,LAC,20150508
Matt Barnes,29:39:00,1,3,0.333,1,3,0.333,4,4,1,0,3,3,2,0,2,2,4,7,6,LAC,20150508
Chris Paul,23:08,5,12,0.417,2,6,0.333,0,0,0,0,3,3,7,2,0,1,2,12,12,LAC,20150508
Jamal Crawford,26:31:00,4,9,0.444,1,4,0.25,3,3,1,1,2,3,3,6,0,2,3,12,17,LAC,20150508
Austin Rivers,23:16,10,13,0.769,3,6,0.5,2,2,1,0,6,6,2,1,1,2,2,25,16,LAC,20150508
Spencer Hawes,11:17,1,1,1,0,0,0,0,0,0,0,3,3,2,0,2,0,4,2,20,LAC,20150508
Glen Davis,8:02,1,3,0.333,0,0,0,2,2,1,0,0,0,0,0,0,0,1,4,-10,LAC,20150508
Lester Hudson,6:00,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,-4,LAC,20150508
Dahntay Jones,3:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,LAC,20150508
Hedo Turkoglu,2:54,1,2,0.5,1,2,0.5,0,0,0,0,1,1,0,1,1,1,1,3,-1,LAC,20150508
Ekpe Udoh,2:09,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,LAC,20150508
Harrison Barnes,40:47:00,7,10,0.7,0,1,0,2,2,1,3,3,6,1,0,0,2,4,16,-5,GSW,20150509
Stephen Curry,39:33:00,8,21,0.381,2,10,0.2,5,7,0.714,1,1,2,6,1,1,4,1,23,-6,GSW,20150509
Draymond Green,39:28:00,1,8,0.125,1,6,0.167,3,4,0.75,0,6,6,7,3,1,5,4,6,-2,GSW,20150509
Klay Thompson,36:43:00,8,13,0.615,3,6,0.5,1,4,0.25,2,6,8,2,1,2,3,5,20,5,GSW,20150509
Andrew Bogut,21:49,1,4,0.25,0,0,0,0,0,0,4,4,8,2,0,1,0,4,2,-4,GSW,20150509
Andre Iguodala,27:52:00,2,7,0.286,0,3,0,5,7,0.714,0,5,5,1,0,1,0,1,9,-9,GSW,20150509
Leandro Barbosa,10:51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,-15,GSW,20150509
Shaun Livingston,8:53,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,-4,GSW,20150509
Festus Ezeli,8:30,1,3,0.333,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,-9,GSW,20150509
Marreese Speights,5:34,3,7,0.429,0,0,0,3,4,0.75,0,1,1,0,1,0,0,1,9,-1,GSW,20150509
Zach Randolph,37:09:00,9,15,0.6,0,1,0,4,4,1,2,6,8,3,1,0,3,3,22,1,MEM,20150509
Marc Gasol,35:48:00,6,17,0.353,0,0,0,9,10,0.9,3,12,15,2,1,0,1,6,21,-1,MEM,20150509
Tony Allen,32:48:00,4,8,0.5,0,0,0,0,0,0,0,5,5,2,4,1,5,3,8,-8,MEM,20150509
Mike Conley,32:25:00,3,10,0.3,2,6,0.333,3,4,0.75,0,0,0,5,0,0,1,2,11,0,MEM,20150509
Courtney Lee,31:41:00,4,9,0.444,2,4,0.5,1,1,1,0,3,3,4,2,0,1,3,11,6,MEM,20150509
Jeff Green,25:47:00,3,8,0.375,1,2,0.5,0,0,0,1,1,2,1,0,0,2,2,7,23,MEM,20150509
Beno Udrih,15:38,2,6,0.333,0,1,0,3,4,0.75,0,1,1,3,2,0,0,3,7,12,MEM,20150509
Kosta Koufos,15:24,4,4,1,0,0,0,0,0,0,4,2,6,1,0,1,0,2,8,8,MEM,20150509
Vince Carter,13:20,2,5,0.4,0,2,0,0,0,0,1,3,4,0,0,0,1,2,4,9,MEM,20150509
Kyle Korver,37:23:00,2,5,0.4,2,4,0.5,0,0,0,0,4,4,2,1,0,3,3,6,0,ATL,20150509
Jeff Teague,32:35:00,5,15,0.333,0,2,0,8,9,0.889,2,2,4,7,3,0,2,4,18,-9,ATL,20150509
DeMarre Carroll,30:05:00,5,11,0.455,0,1,0,4,4,1,2,2,4,0,2,0,1,0,14,-11,ATL,20150509
Al Horford,27:41:00,6,13,0.462,0,0,0,0,0,0,2,8,10,4,0,2,1,1,12,-7,ATL,20150509
Pero Antic,15:16,0,4,0,0,3,0,1,2,0.5,0,1,1,0,0,0,0,4,1,-12,ATL,20150509
Paul Millsap,22:56,2,6,0.333,1,3,0.333,3,5,0.6,1,1,2,2,1,1,3,4,8,-4,ATL,20150509
Dennis Schroder,19:30,6,12,0.5,1,3,0.333,5,5,1,0,2,2,5,1,0,0,4,18,3,ATL,20150509
Kent Bazemore,16:50,3,4,0.75,0,0,0,1,4,0.25,0,4,4,2,0,0,0,1,7,-16,ATL,20150509
Mike Scott,16:20,3,5,0.6,2,4,0.5,0,0,0,1,3,4,0,1,0,0,2,8,15,ATL,20150509
Mike Muscala,13:29,3,4,0.75,1,2,0.5,0,0,0,0,3,3,0,0,0,0,2,7,10,ATL,20150509
Shelvin Mack,7:03,1,2,0.5,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,16,ATL,20150509
John Jenkins,0:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,ATL,20150509
Bradley Beal,39:14:00,6,15,0.4,2,7,0.286,3,3,1,2,1,3,8,1,0,5,3,17,-4,WAS,20150509
Ramon Sessions,35:25:00,2,10,0.2,1,4,0.25,3,4,0.75,0,3,3,6,0,0,3,1,8,3,WAS,20150509
Marcin Gortat,34:09:00,6,7,0.857,0,0,0,2,2,1,1,7,8,3,1,3,0,4,14,12,WAS,20150509
Nene Hilario,29:45:00,7,9,0.778,0,0,0,3,7,0.429,4,3,7,4,1,1,0,3,17,-12,WAS,20150509
Paul Pierce,25:35:00,5,12,0.417,3,7,0.429,0,0,0,0,7,7,1,0,0,1,4,13,-6,WAS,20150509
Otto Porter,39:52:00,7,15,0.467,2,6,0.333,1,2,0.5,2,7,9,4,1,0,0,2,17,2,WAS,20150509
Drew Gooden,14:15,2,3,0.667,1,2,0.5,0,0,0,0,5,5,0,0,1,2,3,5,9,WAS,20150509
Will Bynum,12:58,2,6,0.333,1,2,0.5,4,5,0.8,0,0,0,1,0,0,1,3,9,0,WAS,20150509
Garrett Temple,8:46,0,1,0,0,0,0,3,6,0.5,0,1,1,0,1,0,1,1,3,6,WAS,20150509
LeBron James,43:09:00,10,30,0.333,1,7,0.143,4,4,1,2,12,14,8,1,2,8,4,25,5,CLE,20150510
Kyrie Irving,40:42:00,2,10,0.2,0,2,0,8,8,1,0,4,4,2,2,0,1,0,12,7,CLE,20150510
Timofey Mozgov,38:55:00,4,5,0.8,0,0,0,7,8,0.875,1,8,9,3,0,3,3,5,15,7,CLE,20150510
Iman Shumpert,32:14:00,1,8,0.125,1,6,0.167,2,2,1,1,3,4,0,1,1,0,1,5,7,CLE,20150510
Tristan Thompson,30:19:00,5,6,0.833,0,0,0,2,2,1,1,6,7,0,0,0,0,4,12,0,CLE,20150510
