Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Aaron McKie,35:00:00,6,18,0.333,1,3,0.333,5,5,1,1,2,3,7,1,0,3,4,18,-4,PHI,20010421
Matt Geiger,11:00,1,2,0.5,0,0,0,2,2,1,0,0,0,0,0,0,0,1,4,0,PHI,20010421
Kevin Ollie,7:00,0,2,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,1,PHI,20010421
Jumaine Jones,5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PHI,20010421
Raja Bell,1:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,20010421
Kevin Garnett,45:00:00,9,18,0.5,0,0,0,7,10,0.7,4,9,13,6,3,1,1,2,25,-8,MIN,20010421
Terrell Brandon,43:00:00,8,17,0.471,0,2,0,0,0,0,0,3,3,8,1,0,1,4,16,-4,MIN,20010421
Anthony Peeler,42:00:00,5,21,0.238,1,2,0.5,0,0,0,3,2,5,3,2,0,1,3,11,0,MIN,20010421
Wally Szczerbiak,39:00:00,5,9,0.556,0,0,0,3,3,1,1,2,3,3,0,0,1,1,13,5,MIN,20010421
Dean Garrett,24:00:00,4,8,0.5,0,0,0,2,2,1,1,3,4,0,0,1,0,3,10,10,MIN,20010421
LaPhonso Ellis,14:00,0,2,0,0,0,0,0,0,0,1,3,4,0,0,1,0,3,0,-6,MIN,20010421
Sam Mitchell,9:00,1,5,0.2,0,0,0,2,2,1,0,0,0,0,0,0,0,1,4,-10,MIN,20010421
Rasho Nesterovic,9:00,1,2,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,-6,MIN,20010421
Felipe Lopez,6:00,0,4,0,0,0,0,1,2,0.5,2,1,3,0,2,0,0,0,1,-5,MIN,20010421
Reggie Slater,5:00,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,1,2,0,0,MIN,20010421
Chauncey Billups,4:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-1,MIN,20010421
Tim Duncan,46:00:00,13,20,0.65,0,0,0,7,10,0.7,4,11,15,4,1,4,2,3,33,12,SAS,20010421
Derek Anderson,36:00:00,4,13,0.308,2,4,0.5,2,4,0.5,0,2,2,2,0,0,5,1,12,4,SAS,20010421
David Robinson,32:00:00,4,9,0.444,0,0,0,3,4,0.75,2,7,9,3,1,2,3,5,11,9,SAS,20010421
Danny Ferry,31:00:00,1,3,0.333,1,3,0.333,0,0,0,1,4,5,4,0,0,0,1,3,4,SAS,20010421
Terry Porter,25:00:00,4,5,0.8,0,0,0,3,4,0.75,0,2,2,1,1,0,1,1,11,3,SAS,20010421
Avery Johnson,23:00,3,8,0.375,0,0,0,0,0,0,0,3,3,2,0,0,0,2,6,2,SAS,20010421
Sean Elliott,17:00,2,3,0.667,1,2,0.5,0,0,0,0,0,0,1,0,0,3,2,5,1,SAS,20010421
Malik Rose,16:00,1,1,1,0,0,0,0,0,0,1,3,4,0,0,0,1,4,2,-9,SAS,20010421
Antonio Daniels,12:00,1,4,0.25,0,2,0,2,2,1,0,1,1,1,0,0,1,0,4,1,SAS,20010421
Samaki Walker,2:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2,SAS,20010421
Michael Finley,48:00:00,10,23,0.435,4,9,0.444,2,2,1,1,3,4,2,0,1,2,2,26,-2,DAL,20010421
Dirk Nowitzki,48:00:00,7,20,0.35,2,9,0.222,4,5,0.8,1,11,12,1,1,1,3,4,20,-2,DAL,20010421
Juwan Howard,44:00:00,5,11,0.455,0,0,0,4,4,1,3,6,9,3,1,1,3,5,14,-4,DAL,20010421
Steve Nash,40:00:00,6,11,0.545,1,2,0.5,7,7,1,0,3,3,7,1,0,5,3,20,-9,DAL,20010421
