Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes
"Mon, Apr 21, 2003",7:30 PM,Utah Jazz,95,Sacramento Kings,108,Box Score,,
"Mon, Apr 21, 2003",7:00 PM,Phoenix Suns,76,San Antonio Spurs,84,Box Score,,
"Tue, Apr 22, 2003",8:30 PM,Los Angeles Lakers,91,Minnesota Timberwolves,119,Box Score,,
"Tue, Apr 22, 2003",7:00 PM,Milwaukee Bucks,88,New Jersey Nets,85,Box Score,,
"Wed, Apr 23, 2003",8:30 PM,Portland Trail Blazers,99,Dallas Mavericks,103,Box Score,,
"Wed, Apr 23, 2003",8:00 PM,Orlando Magic,77,Detroit Pistons,89,Box Score,,
"Wed, Apr 23, 2003",7:00 PM,New Orleans Hornets,85,Philadelphia 76ers,90,Box Score,,
"Thu, Apr 24, 2003",6:00 PM,Indiana Pacers,83,Boston Celtics,101,Box Score,,
"Thu, Apr 24, 2003",8:00 PM,Minnesota Timberwolves,114,Los Angeles Lakers,110,Box Score,OT,
"Thu, Apr 24, 2003",7:30 PM,New Jersey Nets,103,Milwaukee Bucks,101,Box Score,,
"Fri, Apr 25, 2003",8:00 PM,Detroit Pistons,80,Orlando Magic,89,Box Score,,
"Fri, Apr 25, 2003",7:00 PM,San Antonio Spurs,99,Phoenix Suns,86,Box Score,,
"Fri, Apr 25, 2003",7:30 PM,Dallas Mavericks,115,Portland Trail Blazers,103,Box Score,,
"Sat, Apr 26, 2003",4:00 PM,New Jersey Nets,114,Milwaukee Bucks,119,Box Score,OT,
"Sat, Apr 26, 2003",6:30 PM,Philadelphia 76ers,85,New Orleans Hornets,99,Box Score,,
"Sat, Apr 26, 2003",8:00 PM,Sacramento Kings,104,Utah Jazz,107,Box Score,,
"Sun, Apr 27, 2003",12:00 PM,Indiana Pacers,92,Boston Celtics,102,Box Score,,
"Sun, Apr 27, 2003",12:00 PM,Minnesota Timberwolves,97,Los Angeles Lakers,102,Box Score,,
"Sun, Apr 27, 2003",5:30 PM,Detroit Pistons,92,Orlando Magic,100,Box Score,,
