Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes,,,,
"Wed, Nov 22, 2000",7:30 PM,New York Knicks,74,Atlanta Hawks,78,Box Score,,,,,,
"Wed, Nov 22, 2000",7:00 PM,Houston Rockets,81,Boston Celtics,96,Box Score,,,,,,
"Wed, Nov 22, 2000",7:30 PM,Philadelphia 76ers,73,Charlotte Hornets,88,Box Score,,,,,,
"Wed, Nov 22, 2000",7:30 PM,Golden State Warriors,91,Los Angeles Lakers,111,Box Score,,,,,,
"Wed, Nov 22, 2000",7:30 PM,Cleveland Cavaliers,86,Miami Heat,67,Box Score,,,,,,
"Wed, Nov 22, 2000",7:00 PM,Portland Trail Blazers,93,Milwaukee Bucks,84,Box Score,,,,,,
"Wed, Nov 22, 2000",7:00 PM,Vancouver Grizzlies,100,Minnesota Timberwolves,101,Box Score,,,,,,
"Wed, Nov 22, 2000",7:00 PM,New Jersey Nets,85,Phoenix Suns,97,Box Score,,,,,,
"Wed, Nov 22, 2000",7:30 PM,Chicago Bulls,71,Sacramento Kings,100,Box Score,,,,,,
"Wed, Nov 22, 2000",7:30 PM,Seattle SuperSonics,85,San Antonio Spurs,112,Box Score,,,,,,
"Wed, Nov 22, 2000",7:00 PM,Denver Nuggets,78,Utah Jazz,116,Box Score,,,,,,
"Thu, Nov 23, 2000",8:00 PM,Toronto Raptors,111,Indiana Pacers,91,Box Score,,,,,,
"Fri, Nov 24, 2000",7:30 PM,Philadelphia 76ers,76,Atlanta Hawks,67,Box Score,,,,,,
"Fri, Nov 24, 2000",7:30 PM,Orlando Magic,98,Boston Celtics,103,Box Score,OT,,,,,
"Fri, Nov 24, 2000",7:30 PM,Miami Heat,80,Cleveland Cavaliers,85,Box Score,,,,,,
"Fri, Nov 24, 2000",7:00 PM,San Antonio Spurs,92,Denver Nuggets,102,Box Score,,,,,,
"Fri, Nov 24, 2000",8:00 PM,Vancouver Grizzlies,96,Detroit Pistons,118,Box Score,,,,,,
"Fri, Nov 24, 2000",8:00 PM,Washington Wizards,87,Indiana Pacers,99,Box Score,,,,,,
"Fri, Nov 24, 2000",7:30 PM,Minnesota Timberwolves,108,Los Angeles Lakers,115,Box Score,,,,,,
"Fri, Nov 24, 2000",7:30 PM,Charlotte Hornets,106,Milwaukee Bucks,90,Box Score,,,,,,
"Fri, Nov 24, 2000",7:00 PM,Golden State Warriors,74,Phoenix Suns,80,Box Score,,,,,,
"Fri, Nov 24, 2000",7:00 PM,Los Angeles Clippers,81,Seattle SuperSonics,98,Box Score,,,,,,
"Fri, Nov 24, 2000",8:00 PM,New Jersey Nets,85,Utah Jazz,97,Box Score,,,,,,
"Sat, Nov 25, 2000",7:30 PM,Cleveland Cavaliers,98,Charlotte Hornets,109,Box Score,,,,,,
"Sat, Nov 25, 2000",7:00 PM,Denver Nuggets,84,Dallas Mavericks,108,Box Score,,,,,,
"Sat, Nov 25, 2000",7:30 PM,Minnesota Timberwolves,93,Golden State Warriors,114,Box Score,,,,,,
"Sat, Nov 25, 2000",7:30 PM,Phoenix Suns,95,Los Angeles Clippers,89,Box Score,OT,,,,,
"Sat, Nov 25, 2000",7:30 PM,Houston Rockets,91,Miami Heat,80,Box Score,,,,,,
"Sat, Nov 25, 2000",1:00 PM,Toronto Raptors,79,New York Knicks,75,Box Score,,,,,,
